FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
caml_serialize_block_4;63;0;0;0;0;0;0
caml_serialize_float_8;36;0;0;0;0;0;0
caml_serialize_block_float_8;40;0;0;0;0;0;0
caml_serialize_block_1;39;0;0;0;0;0;0
caml_serialize_block_2;55;0;0;0;0;0;0
caml_serialize_block_8;79;0;0;0;0;0;0
caml_obj_reachable_words;148;0;0;0;0;0;0
caml_input_val;75;3;2;0;0;72;40
caml_parse_header;220;1;1;0;0;100;100
intern_alloc;86;0;0;0;0;0;0
intern_rec;952;1;0;0;0;16;0
intern_end;80;2;2;0;0;72;72
intern_cleanup;37;0;0;0;0;0;0
intern_resize_stack;37;0;0;0;0;0;0
intern_bad_code_pointer;53;1;1;0;0;256;256
intern_stack_overflow;4;0;0;0;0;0;0
intern_free_stack;9;0;0;0;0;0;0
caml_input_value;59;4;4;0;0;144;144
caml_input_val_from_bytes;74;5;4;0;0;176;144
caml_input_value_from_bytes;3;0;0;0;0;0;0
caml_input_value_from_malloc;21;2;1;0;0;40;8
caml_input_value_from_block;30;2;1;0;0;40;8
caml_marshal_data_size;94;0;0;0;0;0;0
caml_deserialize_uint_1;6;0;0;0;0;0;0
caml_deserialize_sint_1;6;0;0;0;0;0;0
caml_deserialize_uint_2;11;0;0;0;0;0;0
caml_deserialize_sint_2;12;0;0;0;0;0;0
caml_deserialize_uint_4;21;0;0;0;0;0;0
caml_deserialize_sint_4;21;0;0;0;0;0;0
caml_deserialize_uint_8;39;1;0;0;0;8;0
caml_deserialize_block_8;44;0;0;0;0;0;0
caml_deserialize_sint_8;39;1;0;0;0;8;0
caml_deserialize_float_4;23;1;0;0;0;4;0
caml_deserialize_block_4;28;0;0;0;0;0;0
caml_deserialize_float_8;6;0;0;0;0;0;0
caml_deserialize_block_float_8;6;0;0;0;0;0;0
caml_deserialize_block_1;5;0;0;0;0;0;0
caml_deserialize_block_2;20;0;0;0;0;0;0
caml_deserialize_error;3;0;0;0;0;0;0
caml_hash_mix_uint32;12;0;0;0;0;0;0
caml_hash_mix_intnat;17;0;0;0;0;0;0
caml_hash_mix_int64;26;0;0;0;0;0;0
caml_hash_mix_double;42;0;0;0;0;0;0
caml_hash_mix_float;21;0;0;0;0;0;0
caml_hash_mix_string;71;0;0;0;0;0;0
caml_hash;450;1;1;0;0;2048;2048
caml_hash_variant;22;0;0;0;0;0;0
caml_sys_error;64;4;4;0;0;144;144
caml_sys_io_error;8;0;0;0;0;0;0
caml_sys_exit;61;0;0;0;0;0;0
caml_sys_open;59;4;4;0;0;88;88
caml_sys_close;6;0;0;0;0;0;0
caml_sys_file_exists;18;1;1;0;0;144;144
caml_sys_is_directory;51;3;3;0;0;216;216
caml_sys_remove;42;2;2;0;0;72;72
caml_sys_rename;28;0;0;0;0;0;0
caml_sys_chdir;42;2;2;0;0;72;72
caml_sys_mkdir;49;3;3;0;0;80;80
caml_sys_rmdir;42;2;2;0;0;72;72
caml_sys_getcwd;11;1;1;0;0;4096;4096
caml_sys_unsafe_getenv;15;0;0;0;0;0;0
caml_sys_getenv;15;0;0;0;0;0;0
caml_sys_get_argv;47;3;3;0;0;80;80
caml_sys_argv;2;0;0;0;0;0;0
caml_sys_modify_argv;2;0;0;0;0;0;0
caml_sys_executable_name;3;0;0;0;0;0;0
caml_sys_init;5;0;0;0;0;0;0
caml_sys_system_command;50;2;2;0;0;72;72
caml_sys_time_include_children_unboxed;44;1;1;0;0;144;144
caml_sys_time_include_children;45;1;1;0;0;144;144
caml_sys_time_unboxed;24;1;1;0;0;144;144
caml_sys_time;25;1;1;0;0;144;144
caml_sys_random_seed;211;3;1;0;0;156;128
caml_sys_const_big_endian;1;0;0;0;0;0;0
caml_sys_const_word_size;1;0;0;0;0;0;0
caml_sys_const_int_size;1;0;0;0;0;0;0
caml_sys_const_max_wosize;1;0;0;0;0;0;0
caml_sys_const_ostype_unix;1;0;0;0;0;0;0
caml_sys_const_ostype_win32;1;0;0;0;0;0;0
caml_sys_const_ostype_cygwin;1;0;0;0;0;0;0
caml_sys_const_backend_type;1;0;0;0;0;0;0
caml_sys_get_config;48;3;3;0;0;80;80
caml_sys_read_directory;72;5;5;0;0;160;160
caml_sys_isatty;10;0;0;0;0;0;0
caml_sys_const_naked_pointers_checked;1;0;0;0;0;0;0
caml_get_global_data;2;0;0;0;0;0;0
caml_get_section_table;8;0;0;0;0;0;0
caml_reify_bytecode;200;12;12;0;0;320;320
caml_static_release_bytecode;15;0;0;0;0;0;0
caml_realloc_global;107;0;0;0;0;0;0
caml_get_current_environment;5;0;0;0;0;0;0
caml_invoke_traced_function;34;0;0;0;0;0;0
caml_parse_engine;605;0;0;0;0;0;0
caml_set_parser_trace;7;0;0;0;0;0;0
caml_gc_stat;239;2;2;0;0;72;72
caml_gc_quick_stat;132;2;2;0;0;72;72
caml_gc_minor_words_unboxed;13;0;0;0;0;0;0
caml_gc_minor_words;21;0;0;0;0;0;0
caml_gc_counters;59;2;2;0;0;72;72
caml_gc_huge_fallback_count;5;0;0;0;0;0;0
